,Year,Fin,Sperm,Humpback,Sei,Bryde's,Minke,Gray,Bowhead
0,1985.0,0.0,0.0,0.0,0.0,0.0,4969.0,0.0,0.0
1,1986.0,85.0,209.0,2.0,40.0,317.0,5875.0,171.0,28.0
2,1987.0,89.0,198.0,2.0,20.0,317.0,1040.0,159.0,31.0
3,1988.0,77.0,7.0,2.0,14.0,0.0,389.0,151.0,29.0
4,1989.0,82.0,4.0,2.0,2.0,0.0,422.0,180.0,26.0
5,1990.0,19.0,12.0,1.0,0.0,0.0,427.0,162.0,44.0
6,1991.0,18.0,14.0,1.0,0.0,0.0,395.0,169.0,48.0
7,1992.0,22.0,7.0,3.0,0.0,0.0,539.0,0.0,50.0
8,1993.0,14.0,10.0,2.0,0.0,0.0,672.0,0.0,52.0
9,1994.0,22.0,27.0,0.0,0.0,0.0,740.0,44.0,47.0
10,1995.0,12.0,38.0,0.0,0.0,0.0,920.0,92.0,57.0
11,1996.0,19.0,18.0,2.0,0.0,0.0,1081.0,43.0,45.0
12,1997.0,13.0,22.0,0.0,0.0,0.0,1203.0,79.0,66.0
13,1998.0,11.0,31.0,2.0,0.0,1.0,1290.0,125.0,56.0
14,1999.0,9.0,6.0,4.0,0.0,0.0,1315.0,124.0,48.0
15,2000.0,7.0,15.0,2.0,0.0,44.0,1128.0,115.0,49.0
16,2001.0,8.0,43.0,4.0,1.0,50.0,1261.0,112.0,76.0
17,2002.0,13.0,33.0,4.0,40.0,50.0,1377.0,131.0,54.0
18,2003.0,9.0,28.0,2.0,50.0,50.0,1482.0,128.0,44.0
19,2004.0,13.0,17.0,1.0,100.0,51.0,1368.0,111.0,45.0
20,2005.0,23.0,10.0,1.0,100.0,51.0,1939.0,124.0,71.0
21,2006.0,21.0,10.0,2.0,102.0,51.0,1497.0,134.0,42.0
22,2007.0,12.0,46.0,1.0,100.0,50.0,1592.0,132.0,63.0
23,2008.0,15.0,36.0,2.0,100.0,50.0,1585.0,130.0,56.0
24,2009.0,136.0,6.0,2.0,101.0,50.0,1421.0,116.0,45.0
25,2010.0,156.0,25.0,12.0,100.0,51.0,1025.0,118.0,80.0
26,2011.0,6.0,15.0,10.0,96.0,50.0,1193.0,130.0,55.0
27,2012.0,5.0,6.0,12.0,100.0,34.0,959.0,143.0,72.0
28,2013.0,143.0,19.0,12.0,100.0,28.0,1168.0,127.0,61.0
29,2014.0,149.0,31.0,9.0,90.0,25.0,1009.0,124.0,55.0
30,2015.0,168.0,7.0,7.0,90.0,25.0,1247.0,125.0,52.0
31,2016.0,9.0,12.0,6.0,90.0,26.0,1174.0,120.0,63.0
32,2017.0,8.0,27.0,3.0,134.0,0.0,1056.0,120.0,59.0
33,2018.0,153.0,0.0,6.0,135.0,0.0,751.0,0.0,3.0
